[2025-03-21 15:15:49,810] pmultiqc                                           [WARNING]  Running pmultiqc Plugin v0.0.25
[2025-03-21 15:15:50,568] multiqc.core.version_check                         [WARNING]  MultiQC Version v1.27.1 now available!
[2025-03-21 15:15:50,569] multiqc.core.file_search                           [INFO   ]  Search path: /home/yueqx/Data_Disk/proteogenomics/pmultiqc_lib/test_datasets/resources/MaxQuant/PXD003133
[2025-03-21 15:15:52,058] pmultiqc.modules.quantms.quantms                   [INFO   ]  pyopenms has: 20 threads.
[2025-03-21 15:15:52,061] pmultiqc.modules.quantms.quantms                   [INFO   ]  15:15:52: Parsing parameters file resources/MaxQuant/PXD003133/parameters.txt...
[2025-03-21 15:15:52,067] pmultiqc.modules.quantms.quantms                   [INFO   ]  15:15:52: Completed the processing of the parameters file resources/MaxQuant/PXD003133/parameters.txt...
[2025-03-21 15:15:52,067] pmultiqc.modules.quantms.quantms                   [INFO   ]  15:15:52: Parsing proteinGroups file resources/MaxQuant/PXD003133/proteinGroups.txt...
[2025-03-21 15:15:52,288] pmultiqc.modules.quantms.quantms                   [INFO   ]  15:15:52: Completed the processing of the proteinGroups file resources/MaxQuant/PXD003133/proteinGroups.txt...
[2025-03-21 15:15:52,289] pmultiqc.modules.quantms.quantms                   [INFO   ]  15:15:52: Parsing summary file resources/MaxQuant/PXD003133/summary.txt...
[2025-03-21 15:15:52,292] pmultiqc.modules.quantms.quantms                   [INFO   ]  15:15:52: Completed the processing of the summary file resources/MaxQuant/PXD003133/summary.txt...
[2025-03-21 15:15:52,292] pmultiqc.modules.quantms.quantms                   [INFO   ]  15:15:52: Parsing evidence file resources/MaxQuant/PXD003133/evidence.txt...
[2025-03-21 15:15:54,296] pmultiqc.modules.quantms.quantms                   [INFO   ]  15:15:54: Completed the processing of the evidence file resources/MaxQuant/PXD003133/evidence.txt...
[2025-03-21 15:15:54,297] pmultiqc.modules.quantms.quantms                   [INFO   ]  15:15:54: Parsing msms file resources/MaxQuant/PXD003133/msms.txt...
[2025-03-21 15:15:56,264] pmultiqc.modules.quantms.quantms                   [INFO   ]  15:15:56: Completed the processing of the msms file resources/MaxQuant/PXD003133/msms.txt...
[2025-03-21 15:15:56,264] pmultiqc.modules.quantms.quantms                   [INFO   ]  15:15:56: Parsing msScans file resources/MaxQuant/PXD003133/msmsScans.txt...
[2025-03-21 15:15:57,561] pmultiqc.modules.quantms.quantms                   [INFO   ]  15:15:57: Completed the processing of the msScans file resources/MaxQuant/PXD003133/msmsScans.txt...
